LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
63m         Warning   Failed                         pod/rolling-deployment-5697d46649-bk4d5        Error: ImagePullBackOff
61m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-b5p7m
58m         Warning   BackOff                        pod/load-generator                             Back-off restarting failed container load-generator in pod load-generator_default(1a7e0cf0-5e34-4e35-a49f-31919de45782)
57m         Normal    BackOff                        pod/app                                        Back-off pulling image "pilotapp:v1"
56m         Normal    BackOff                        pod/rolling-deployment-5697d46649-mkmmv        Back-off pulling image "nginx:doesnotexist"
56m         Normal    BackOff                        pod/rolling-deployment-5697d46649-bk4d5        Back-off pulling image "nginx:doesnotexist"
56m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-5hjws
55m         Warning   Failed                         pod/app                                        Error: ImagePullBackOff
54m         Normal    Pulling                        pod/load-generator                             Pulling image "busybox"
54m         Normal    BackOff                        pod/backend-dev-deployment-8448bb4f88-nw68s    Back-off pulling image "my-backend:latest"
54m         Normal    BackOff                        pod/backend-dev-deployment-8448bb4f88-sc8tj    Back-off pulling image "my-backend:latest"
53m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-nw68s    Error: ImagePullBackOff
53m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-sc8tj    Error: ImagePullBackOff
53m         Warning   Failed                         pod/rolling-deployment-5697d46649-mkmmv        Error: ImagePullBackOff
53m         Warning   Failed                         pod/rolling-deployment-5697d46649-bk4d5        Failed to pull image "nginx:doesnotexist": Error response from daemon: manifest for nginx:doesnotexist not found: manifest unknown: manifest unknown
39m         Normal    Starting                       node/minikube                                  Starting kubelet.
39m         Normal    NodeAllocatableEnforced        node/minikube                                  Updated Node Allocatable limit across pods
39m         Normal    NodeHasSufficientPID           node/minikube                                  Node minikube status is now: NodeHasSufficientPID
39m         Normal    NodeHasNoDiskPressure          node/minikube                                  Node minikube status is now: NodeHasNoDiskPressure
39m         Normal    NodeHasSufficientMemory        node/minikube                                  Node minikube status is now: NodeHasSufficientMemory
38m         Warning   Rebooted                       node/minikube                                  Node minikube has been rebooted, boot id: 282c293b-2b7b-40cd-9007-12501cdb62ab
38m         Normal    SandboxChanged                 pod/myapp-5886fbf8-z2bzs                       Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-nsjdd                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/deploy-6f66f85776-zqvtf                    Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpds-bbd777f8d-svclx                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-1                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-bh6mh                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-6xcl2                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/recreate-deployment-866ccdc575-hrh45       Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-2                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/load-generator                             Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/app                                        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/rolling-deployment-55b6d89599-8szt7        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/api-backend-dev-b448f6d6d-8gzdz            Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-frm8t                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/log-processor                              Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-4sf2t                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/rolling-deployment-55b6d89599-pg7r7        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/rolling-deployment-55b6d89599-qshvp        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/standalone-nginx                           Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/backend-dev-deployment-8448bb4f88-nw68s    Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-0                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/nginx-deployment-86c57bc6b8-8rk92          Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/nginx-deployment-86c57bc6b8-xcmgp          Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-h                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-e                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/react-frontend-dev-79b7b6cc87-b5p7m        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/react-frontend-dev-79b7b6cc87-5hjws        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-c                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-b                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-g                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/deploy-6f66f85776-h2wd8                    Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/rolling-deployment-5697d46649-mkmmv        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/rolling-deployment-5697d46649-bk4d5        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpd-7ffb6c7dd7-qzfwh                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpds-bbd777f8d-nfsh9                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/backend-dev-deployment-8448bb4f88-sc8tj    Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/react-frontend-dev-79b7b6cc87-59ttw        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/nginx                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-f                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/recreate-deployment-866ccdc575-msjjh       Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/postgres-db-dev-778b4db454-zgpdj           Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpd-7ffb6c7dd7-lcwxq                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpds-bbd777f8d-5qlpk                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-d                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/nginx-deployment-86c57bc6b8-sksw5          Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-i                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/web-app-5c89984b6f-wxds8                   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/api-backend-dev-b448f6d6d-zjd4m            Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/react-frontend-dev-79b7b6cc87-7wt8p        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/pod-a                                      Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/react-frontend-dev-79b7b6cc87-jk8m6        Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged                 pod/httpd-7ffb6c7dd7-dzxfv                     Pod sandbox changed, it will be killed and re-created.
38m         Normal    Pulled                         pod/myapp-5886fbf8-z2bzs                       Container image "myapp:v1" already present on machine
38m         Normal    Created                        pod/myapp-5886fbf8-z2bzs                       Created container: myapp
38m         Normal    Started                        pod/myapp-5886fbf8-z2bzs                       Started container myapp
37m         Normal    Pulled                         pod/web-app-5c89984b6f-6xcl2                   Container image "nginx:1.19" already present on machine
