LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
33m         Normal    Pulled                         pod/httpd-7ffb6c7dd7-lcwxq                     Successfully pulled image "httpd" in 2.591s (1m27.457s including waiting). Image size: 148251613 bytes.
33m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-5hjws
33m         Normal    Created                        pod/httpd-7ffb6c7dd7-lcwxq                     Created container: httpd
33m         Normal    Started                        pod/httpd-7ffb6c7dd7-lcwxq                     Started container httpd
33m         Normal    Pulled                         pod/httpds-bbd777f8d-5qlpk                     Successfully pulled image "httpd" in 2.643s (1m30.099s including waiting). Image size: 148251613 bytes.
33m         Normal    Created                        pod/httpds-bbd777f8d-5qlpk                     Created container: httpd
33m         Normal    Started                        pod/httpds-bbd777f8d-5qlpk                     Started container httpd
33m         Normal    Pulled                         pod/nginx                                      Successfully pulled image "nginx" in 2.967s (1m32.918s including waiting). Image size: 192226221 bytes.
33m         Normal    Created                        pod/nginx                                      Created container: nginx
33m         Normal    Started                        pod/nginx                                      Started container nginx
33m         Normal    Pulled                         pod/pod-g                                      Successfully pulled image "busybox" in 3.219s (1m36.079s including waiting). Image size: 4277910 bytes.
33m         Normal    Created                        pod/pod-g                                      Created container: dummy
33m         Normal    Started                        pod/pod-g                                      Started container dummy
33m         Normal    Pulled                         pod/httpd-7ffb6c7dd7-qzfwh                     Successfully pulled image "httpd" in 2.972s (1m38.977s including waiting). Image size: 148251613 bytes.
33m         Normal    Created                        pod/httpd-7ffb6c7dd7-qzfwh                     Created container: httpd
33m         Normal    Started                        pod/httpd-7ffb6c7dd7-qzfwh                     Started container httpd
33m         Normal    Created                        pod/pod-a                                      Created container: dummy
33m         Normal    Pulled                         pod/pod-a                                      Successfully pulled image "busybox" in 2.768s (1m41.649s including waiting). Image size: 4277910 bytes.
33m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container my-backend of Pod backend-dev-deployment-8448bb4f88-sc8tj
33m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container my-backend of Pod backend-dev-deployment-8448bb4f88-sc8tj
33m         Normal    Started                        pod/pod-a                                      Started container dummy
33m         Normal    Pulled                         pod/pod-b                                      Successfully pulled image "busybox" in 3.428s (1m44.899s including waiting). Image size: 4277910 bytes.
33m         Normal    Created                        pod/pod-b                                      Created container: dummy
33m         Normal    Started                        pod/pod-b                                      Started container dummy
33m         Normal    Pulled                         pod/deploy-6f66f85776-h2wd8                    Successfully pulled image "nginx:1.25" in 2.804s (1m47.682s including waiting). Image size: 187659947 bytes.
33m         Normal    Created                        pod/deploy-6f66f85776-h2wd8                    Created container: nginx
33m         Normal    Started                        pod/deploy-6f66f85776-h2wd8                    Started container nginx
33m         Normal    Pulled                         pod/nginx-deployment-86c57bc6b8-8rk92          Successfully pulled image "nginx" in 2.661s (1m53.631s including waiting). Image size: 192226221 bytes.
33m         Normal    Created                        pod/nginx-deployment-86c57bc6b8-8rk92          Created container: nginx
33m         Normal    Started                        pod/nginx-deployment-86c57bc6b8-8rk92          Started container nginx
33m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-e
33m         Normal    Pulled                         pod/pod-f                                      Successfully pulled image "busybox" in 3.583s (1m57.214s including waiting). Image size: 4277910 bytes.
33m         Normal    Created                        pod/pod-f                                      Created container: dummy
33m         Normal    Started                        pod/pod-f                                      Started container dummy
33m         Normal    Pulled                         pod/nginx-deployment-86c57bc6b8-sksw5          Successfully pulled image "nginx" in 4.195s (2m1.407s including waiting). Image size: 192226221 bytes.
33m         Normal    Created                        pod/nginx-deployment-86c57bc6b8-sksw5          Created container: nginx
33m         Normal    Started                        pod/nginx-deployment-86c57bc6b8-sksw5          Started container nginx
33m         Normal    Pulled                         pod/react-frontend-dev-79b7b6cc87-b5p7m        Successfully pulled image "nginx" in 6.699s (2m8.027s including waiting). Image size: 192226221 bytes.
33m         Normal    Created                        pod/react-frontend-dev-79b7b6cc87-b5p7m        Created container: react-app
33m         Normal    Pulled                         pod/react-frontend-dev-79b7b6cc87-7wt8p        Successfully pulled image "nginx" in 7.094s (2m15.097s including waiting). Image size: 192226221 bytes.
33m         Normal    Created                        pod/react-frontend-dev-79b7b6cc87-7wt8p        Created container: react-app
33m         Normal    Started                        pod/react-frontend-dev-79b7b6cc87-b5p7m        Started container react-app
33m         Normal    Pulled                         pod/httpd-7ffb6c7dd7-dzxfv                     Successfully pulled image "httpd" in 3.982s (2m18.781s including waiting). Image size: 148251613 bytes.
33m         Normal    Started                        pod/react-frontend-dev-79b7b6cc87-7wt8p        Started container react-app
32m         Normal    Created                        pod/httpd-7ffb6c7dd7-dzxfv                     Created container: httpd
32m         Normal    Started                        pod/httpd-7ffb6c7dd7-dzxfv                     Started container httpd
32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-b5p7m
32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-b5p7m
32m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 2.566s (2m17.615s including waiting). Image size: 4277910 bytes.
32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container my-backend of Pod backend-dev-deployment-8448bb4f88-nw68s
32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container my-backend of Pod backend-dev-deployment-8448bb4f88-nw68s
32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container postgres of Pod postgres-db-dev-778b4db454-zgpdj
32m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 2.775s (2.775s including waiting). Image size: 4277910 bytes.
31m         Normal    Scheduled                      pod/ssd-pod                                    Successfully assigned default/ssd-pod to minikube
30m         Normal    Pulling                        pod/ssd-pod                                    Pulling image "nginx"
30m         Normal    Pulled                         pod/ssd-pod                                    Successfully pulled image "nginx" in 2.904s (2.905s including waiting). Image size: 192226221 bytes.
30m         Normal    Created                        pod/ssd-pod                                    Created container: nginx
30m         Normal    Started                        pod/ssd-pod                                    Started container nginx
30m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 2.875s (2.875s including waiting). Image size: 4277910 bytes.
30m         Normal    Pulling                        pod/backend-dev-deployment-8448bb4f88-sc8tj    Pulling image "my-backend:latest"
30m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-sc8tj    Error: ErrImagePull
30m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-sc8tj    Failed to pull image "my-backend:latest": Error response from daemon: pull access denied for my-backend, repository does not exist or may require 'docker login': denied: requested access to the resource is denied
29m         Normal    Pulling                        pod/app                                        Pulling image "pilotapp:v1"
29m         Warning   Failed                         pod/app                                        Error: ErrImagePull
29m         Normal    Pulling                        pod/rolling-deployment-5697d46649-bk4d5        Pulling image "nginx:doesnotexist"
29m         Normal    Pulling                        pod/rolling-deployment-5697d46649-mkmmv        Pulling image "nginx:doesnotexist"
29m         Normal    Pulling                        pod/backend-dev-deployment-8448bb4f88-nw68s    Pulling image "my-backend:latest"
29m         Normal    Scheduled                      pod/hdd-pod                                    Successfully assigned default/hdd-pod to minikube
29m         Warning   Failed                         pod/rolling-deployment-5697d46649-mkmmv        Error: ErrImagePull
29m         Warning   Failed                         pod/rolling-deployment-5697d46649-mkmmv        Failed to pull image "nginx:doesnotexist": Error response from daemon: manifest for nginx:doesnotexist not found: manifest unknown: manifest unknown
29m         Normal    Pulling                        pod/hdd-pod                                    Pulling image "nginx"
29m         Warning   Failed                         pod/rolling-deployment-5697d46649-bk4d5        Error: ErrImagePull
29m         Warning   Failed                         pod/rolling-deployment-5697d46649-bk4d5        Failed to pull image "nginx:doesnotexist": Error response from daemon: manifest for nginx:doesnotexist not found: manifest unknown: manifest unknown
29m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-nw68s    Error: ErrImagePull
29m         Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-nw68s    Failed to pull image "my-backend:latest": Error response from daemon: pull access denied for my-backend, repository does not exist or may require 'docker login': denied: requested access to the resource is denied
29m         Normal    Pulled                         pod/hdd-pod                                    Successfully pulled image "nginx" in 2.825s (7.208s including waiting). Image size: 192226221 bytes.
29m         Normal    Created                        pod/hdd-pod                                    Created container: nginx
29m         Normal    Started                        pod/hdd-pod                                    Started container nginx
27m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 3.591s (3.591s including waiting). Image size: 4277910 bytes.
26m         Warning   Failed                         pod/app                                        Failed to pull image "pilotapp:v1": Error response from daemon: pull access denied for pilotapp, repository does not exist or may require 'docker login': denied: requested access to the resource is denied
25m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  (combined from similar events): failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-d
22m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 2.966s (2.966s including waiting). Image size: 4277910 bytes.
20m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-a
18m         Normal    Scheduled                      pod/anti-affinity-demo-58975dfdbb-kwqdx        Successfully assigned default/anti-affinity-demo-58975dfdbb-kwqdx to minikube
18m         Normal    ScalingReplicaSet              deployment/anti-affinity-demo                  Scaled up replica set anti-affinity-demo-58975dfdbb from 0 to 3
18m         Normal    SuccessfulCreate               replicaset/anti-affinity-demo-58975dfdbb       Created pod: anti-affinity-demo-58975dfdbb-kwqdx
18m         Normal    SuccessfulCreate               replicaset/anti-affinity-demo-58975dfdbb       Created pod: anti-affinity-demo-58975dfdbb-zgnz8
18m         Normal    SuccessfulCreate               replicaset/anti-affinity-demo-58975dfdbb       Created pod: anti-affinity-demo-58975dfdbb-zpxz5
18m         Normal    Scheduled                      pod/anti-affinity-demo-58975dfdbb-zpxz5        Successfully assigned default/anti-affinity-demo-58975dfdbb-zpxz5 to minikube
18m         Normal    Scheduled                      pod/anti-affinity-demo-58975dfdbb-zgnz8        Successfully assigned default/anti-affinity-demo-58975dfdbb-zgnz8 to minikube
18m         Normal    Pulling                        pod/anti-affinity-demo-58975dfdbb-zpxz5        Pulling image "nginx"
18m         Normal    Pulling                        pod/anti-affinity-demo-58975dfdbb-kwqdx        Pulling image "nginx"
18m         Normal    Pulling                        pod/anti-affinity-demo-58975dfdbb-zgnz8        Pulling image "nginx"
18m         Normal    Pulled                         pod/anti-affinity-demo-58975dfdbb-kwqdx        Successfully pulled image "nginx" in 2.957s (2.957s including waiting). Image size: 192226221 bytes.
17m         Normal    Created                        pod/anti-affinity-demo-58975dfdbb-kwqdx        Created container: nginx
17m         Normal    Started                        pod/anti-affinity-demo-58975dfdbb-kwqdx        Started container nginx
17m         Normal    Pulled                         pod/anti-affinity-demo-58975dfdbb-zgnz8        Successfully pulled image "nginx" in 2.507s (5.465s including waiting). Image size: 192226221 bytes.
17m         Normal    Started                        pod/anti-affinity-demo-58975dfdbb-zgnz8        Started container nginx
17m         Normal    Created                        pod/anti-affinity-demo-58975dfdbb-zgnz8        Created container: nginx
17m         Normal    Pulled                         pod/anti-affinity-demo-58975dfdbb-zpxz5        Successfully pulled image "nginx" in 2.508s (7.972s including waiting). Image size: 192226221 bytes.
17m         Normal    Created                        pod/anti-affinity-demo-58975dfdbb-zpxz5        Created container: nginx
17m         Normal    Started                        pod/anti-affinity-demo-58975dfdbb-zpxz5        Started container nginx
17m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 3.064s (3.064s including waiting). Image size: 4277910 bytes.
16m         Normal    Scheduled                      pod/seed-nginx                                 Successfully assigned default/seed-nginx to minikube
16m         Normal    Scheduled                      pod/hard-affinity-demo-6db64dcd6b-z28tl        Successfully assigned default/hard-affinity-demo-6db64dcd6b-z28tl to minikube
16m         Normal    SuccessfulCreate               replicaset/hard-affinity-demo-6db64dcd6b       Created pod: hard-affinity-demo-6db64dcd6b-s9kzn
16m         Normal    Scheduled                      pod/hard-affinity-demo-6db64dcd6b-s9kzn        Successfully assigned default/hard-affinity-demo-6db64dcd6b-s9kzn to minikube
16m         Normal    SuccessfulCreate               replicaset/hard-affinity-demo-6db64dcd6b       Created pod: hard-affinity-demo-6db64dcd6b-z28tl
16m         Normal    ScalingReplicaSet              deployment/hard-affinity-demo                  Scaled up replica set hard-affinity-demo-6db64dcd6b from 0 to 2
16m         Normal    Pulling                        pod/seed-nginx                                 Pulling image "nginx"
16m         Normal    Pulling                        pod/hard-affinity-demo-6db64dcd6b-z28tl        Pulling image "nginx"
16m         Normal    Pulling                        pod/hard-affinity-demo-6db64dcd6b-s9kzn        Pulling image "nginx"
16m         Normal    Created                        pod/seed-nginx                                 Created container: nginx
16m         Normal    Started                        pod/seed-nginx                                 Started container nginx
16m         Normal    Pulled                         pod/seed-nginx                                 Successfully pulled image "nginx" in 2.91s (2.91s including waiting). Image size: 192226221 bytes.
16m         Normal    Created                        pod/hard-affinity-demo-6db64dcd6b-z28tl        Created container: nginx
16m         Normal    Pulled                         pod/hard-affinity-demo-6db64dcd6b-z28tl        Successfully pulled image "nginx" in 2.907s (4.039s including waiting). Image size: 192226221 bytes.
16m         Normal    Started                        pod/hard-affinity-demo-6db64dcd6b-z28tl        Started container nginx
16m         Normal    Created                        pod/hard-affinity-demo-6db64dcd6b-s9kzn        Created container: nginx
16m         Normal    Pulled                         pod/hard-affinity-demo-6db64dcd6b-s9kzn        Successfully pulled image "nginx" in 2.614s (6.586s including waiting). Image size: 192226221 bytes.
16m         Normal    Started                        pod/hard-affinity-demo-6db64dcd6b-s9kzn        Started container nginx
15m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-d
14m         Normal    SuccessfulCreate               replicaset/soft-affinity-demo-787b675c78       Created pod: soft-affinity-demo-787b675c78-bgjb4
14m         Normal    Scheduled                      pod/soft-affinity-demo-787b675c78-xsg9q        Successfully assigned default/soft-affinity-demo-787b675c78-xsg9q to minikube
14m         Normal    Scheduled                      pod/soft-affinity-demo-787b675c78-bgjb4        Successfully assigned default/soft-affinity-demo-787b675c78-bgjb4 to minikube
14m         Normal    SuccessfulCreate               replicaset/soft-affinity-demo-787b675c78       Created pod: soft-affinity-demo-787b675c78-xsg9q
14m         Normal    SuccessfulCreate               replicaset/soft-affinity-demo-787b675c78       Created pod: soft-affinity-demo-787b675c78-j6fvk
14m         Normal    ScalingReplicaSet              deployment/soft-affinity-demo                  Scaled up replica set soft-affinity-demo-787b675c78 from 0 to 3
14m         Normal    Scheduled                      pod/soft-affinity-demo-787b675c78-j6fvk        Successfully assigned default/soft-affinity-demo-787b675c78-j6fvk to minikube
14m         Normal    Pulling                        pod/soft-affinity-demo-787b675c78-j6fvk        Pulling image "nginx"
14m         Normal    Pulling                        pod/soft-affinity-demo-787b675c78-xsg9q        Pulling image "nginx"
14m         Normal    Pulling                        pod/soft-affinity-demo-787b675c78-bgjb4        Pulling image "nginx"
14m         Normal    Created                        pod/soft-affinity-demo-787b675c78-j6fvk        Created container: nginx
14m         Normal    Pulled                         pod/soft-affinity-demo-787b675c78-j6fvk        Successfully pulled image "nginx" in 3.562s (3.564s including waiting). Image size: 192226221 bytes.
14m         Normal    Started                        pod/soft-affinity-demo-787b675c78-j6fvk        Started container nginx
14m         Normal    Pulled                         pod/soft-affinity-demo-787b675c78-bgjb4        Successfully pulled image "nginx" in 2.781s (6.344s including waiting). Image size: 192226221 bytes.
14m         Normal    Created                        pod/soft-affinity-demo-787b675c78-bgjb4        Created container: nginx
14m         Normal    Started                        pod/soft-affinity-demo-787b675c78-bgjb4        Started container nginx
14m         Normal    Pulled                         pod/soft-affinity-demo-787b675c78-xsg9q        Successfully pulled image "nginx" in 2.746s (9.089s including waiting). Image size: 192226221 bytes.
14m         Normal    SuccessfulCreate               replicaset/anti-affinity-demo-58975dfdbb       Created pod: anti-affinity-demo-58975dfdbb-l2rvs
14m         Normal    Created                        pod/soft-affinity-demo-787b675c78-xsg9q        Created container: nginx
14m         Normal    ScalingReplicaSet              deployment/anti-affinity-demo                  Scaled up replica set anti-affinity-demo-58975dfdbb from 3 to 5
14m         Normal    SuccessfulCreate               replicaset/anti-affinity-demo-58975dfdbb       Created pod: anti-affinity-demo-58975dfdbb-g2kg7
14m         Normal    SuccessfulCreate               replicaset/hard-affinity-demo-6db64dcd6b       Created pod: hard-affinity-demo-6db64dcd6b-brn52
14m         Normal    Scheduled                      pod/hard-affinity-demo-6db64dcd6b-brn52        Successfully assigned default/hard-affinity-demo-6db64dcd6b-brn52 to minikube
14m         Normal    Scheduled                      pod/anti-affinity-demo-58975dfdbb-l2rvs        Successfully assigned default/anti-affinity-demo-58975dfdbb-l2rvs to minikube
14m         Normal    ScalingReplicaSet              deployment/hard-affinity-demo                  Scaled up replica set hard-affinity-demo-6db64dcd6b from 2 to 3
14m         Normal    Scheduled                      pod/anti-affinity-demo-58975dfdbb-g2kg7        Successfully assigned default/anti-affinity-demo-58975dfdbb-g2kg7 to minikube
14m         Normal    Started                        pod/soft-affinity-demo-787b675c78-xsg9q        Started container nginx
14m         Normal    Scheduled                      pod/soft-affinity-demo-787b675c78-pbvcb        Successfully assigned default/soft-affinity-demo-787b675c78-pbvcb to minikube
14m         Normal    Scheduled                      pod/soft-affinity-demo-787b675c78-xhsrq        Successfully assigned default/soft-affinity-demo-787b675c78-xhsrq to minikube
14m         Normal    ScalingReplicaSet              deployment/soft-affinity-demo                  Scaled up replica set soft-affinity-demo-787b675c78 from 3 to 5
14m         Normal    SuccessfulCreate               replicaset/soft-affinity-demo-787b675c78       Created pod: soft-affinity-demo-787b675c78-pbvcb
14m         Normal    SuccessfulCreate               replicaset/soft-affinity-demo-787b675c78       Created pod: soft-affinity-demo-787b675c78-xhsrq
14m         Normal    Pulling                        pod/anti-affinity-demo-58975dfdbb-g2kg7        Pulling image "nginx"
14m         Normal    Pulling                        pod/anti-affinity-demo-58975dfdbb-l2rvs        Pulling image "nginx"
14m         Normal    Pulling                        pod/soft-affinity-demo-787b675c78-pbvcb        Pulling image "nginx"
14m         Normal    Pulling                        pod/soft-affinity-demo-787b675c78-xhsrq        Pulling image "nginx"
14m         Normal    Pulling                        pod/hard-affinity-demo-6db64dcd6b-brn52        Pulling image "nginx"
14m         Normal    Pulled                         pod/soft-affinity-demo-787b675c78-pbvcb        Successfully pulled image "nginx" in 5.125s (5.125s including waiting). Image size: 192226221 bytes.
14m         Normal    Created                        pod/soft-affinity-demo-787b675c78-pbvcb        Created container: nginx
14m         Normal    Started                        pod/soft-affinity-demo-787b675c78-pbvcb        Started container nginx
13m         Normal    Pulled                         pod/anti-affinity-demo-58975dfdbb-g2kg7        Successfully pulled image "nginx" in 3.454s (8.578s including waiting). Image size: 192226221 bytes.
13m         Normal    Created                        pod/anti-affinity-demo-58975dfdbb-g2kg7        Created container: nginx
13m         Normal    Started                        pod/anti-affinity-demo-58975dfdbb-g2kg7        Started container nginx
13m         Normal    Pulled                         pod/soft-affinity-demo-787b675c78-xhsrq        Successfully pulled image "nginx" in 4.562s (12.765s including waiting). Image size: 192226221 bytes.
13m         Normal    Created                        pod/soft-affinity-demo-787b675c78-xhsrq        Created container: nginx
13m         Normal    Started                        pod/soft-affinity-demo-787b675c78-xhsrq        Started container nginx
13m         Normal    Pulled                         pod/anti-affinity-demo-58975dfdbb-l2rvs        Successfully pulled image "nginx" in 3.282s (15.94s including waiting). Image size: 192226221 bytes.
13m         Normal    Created                        pod/anti-affinity-demo-58975dfdbb-l2rvs        Created container: nginx
13m         Normal    Started                        pod/anti-affinity-demo-58975dfdbb-l2rvs        Started container nginx
13m         Normal    Pulled                         pod/hard-affinity-demo-6db64dcd6b-brn52        Successfully pulled image "nginx" in 4.09s (19.616s including waiting). Image size: 192226221 bytes.
13m         Normal    Created                        pod/hard-affinity-demo-6db64dcd6b-brn52        Created container: nginx
13m         Normal    Started                        pod/hard-affinity-demo-6db64dcd6b-brn52        Started container nginx
12m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 3.134s (3.134s including waiting). Image size: 4277910 bytes.
12m         Warning   Failed                         pod/load-generator                             Error: failed to start container "load-generator": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "C:/Program Files/Git/usr/bin/sh": stat C:/Program Files/Git/usr/bin/sh: no such file or directory: unknown
12m         Warning   FailedScheduling               pod/wrong-label-pod                            0/1 nodes are available: 1 node(s) didn't match Pod's node affinity/selector. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-59ttw
7m39s       Warning   FailedScheduling               pod/wrong-label-pod                            0/1 nodes are available: 1 node(s) had untolerated taint {role: database}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
7m5s        Normal    Pulled                         pod/load-generator                             (combined from similar events): Successfully pulled image "busybox" in 3.037s (3.037s including waiting). Image size: 4277910 bytes.
7m4s        Normal    Created                        pod/load-generator                             Created container: load-generator
6m21s       Warning   FailedScheduling               pod/regular-pod                                0/1 nodes are available: 1 node(s) had untolerated taint {role: database}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
6m12s       Warning   Failed                         pod/rolling-deployment-5697d46649-mkmmv        Error: ImagePullBackOff
5m39s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/myapp                  failed to get cpu utilization: missing request for cpu in container dummy of Pod pod-e
4m56s       Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-sc8tj    Error: ImagePullBackOff
4m11s       Warning   Failed                         pod/rolling-deployment-5697d46649-bk4d5        Error: ImagePullBackOff
4m3s        Normal    Scheduled                      pod/tolerant-pod                               Successfully assigned default/tolerant-pod to minikube
3m59s       Normal    Pulling                        pod/tolerant-pod                               Pulling image "nginx"
3m55s       Normal    Pulled                         pod/tolerant-pod                               Successfully pulled image "nginx" in 3.252s (3.254s including waiting). Image size: 192226221 bytes.
3m54s       Normal    Created                        pod/tolerant-pod                               Created container: nginx
3m54s       Normal    Started                        pod/tolerant-pod                               Started container nginx
3m49s       Normal    BackOff                        pod/app                                        Back-off pulling image "pilotapp:v1"
3m47s       Normal    BackOff                        pod/rolling-deployment-5697d46649-bk4d5        Back-off pulling image "nginx:doesnotexist"
3m43s       Normal    BackOff                        pod/rolling-deployment-5697d46649-mkmmv        Back-off pulling image "nginx:doesnotexist"
3m40s       Normal    BackOff                        pod/backend-dev-deployment-8448bb4f88-nw68s    Back-off pulling image "my-backend:latest"
3m40s       Warning   Failed                         pod/backend-dev-deployment-8448bb4f88-nw68s    Error: ImagePullBackOff
3m37s       Normal    BackOff                        pod/backend-dev-deployment-8448bb4f88-sc8tj    Back-off pulling image "my-backend:latest"
2m33s       Warning   BackOff                        pod/load-generator                             Back-off restarting failed container load-generator in pod load-generator_default(1a7e0cf0-5e34-4e35-a49f-31919de45782)
2m26s       Normal    TaintManagerEviction           pod/httpds-bbd777f8d-nfsh9                     Marking for deletion Pod default/httpds-bbd777f8d-nfsh9
2m26s       Normal    TaintManagerEviction           pod/anti-affinity-demo-58975dfdbb-zgnz8        Marking for deletion Pod default/anti-affinity-demo-58975dfdbb-zgnz8
2m26s       Normal    TaintManagerEviction           pod/pod-i                                      Marking for deletion Pod default/pod-i
2m26s       Normal    TaintManagerEviction           pod/pod-f                                      Marking for deletion Pod default/pod-f
2m26s       Normal    TaintManagerEviction           pod/hdd-pod                                    Marking for deletion Pod default/hdd-pod
2m26s       Normal    TaintManagerEviction           pod/react-frontend-dev-79b7b6cc87-jk8m6        Marking for deletion Pod default/react-frontend-dev-79b7b6cc87-jk8m6
2m26s       Normal    TaintManagerEviction           pod/nginx                                      Marking for deletion Pod default/nginx
2m26s       Normal    TaintManagerEviction           pod/soft-affinity-demo-787b675c78-xhsrq        Marking for deletion Pod default/soft-affinity-demo-787b675c78-xhsrq
2m26s       Normal    TaintManagerEviction           pod/pod-e                                      Marking for deletion Pod default/pod-e
2m26s       Normal    TaintManagerEviction           pod/tolerant-pod                               Marking for deletion Pod default/tolerant-pod
2m26s       Normal    TaintManagerEviction           pod/soft-affinity-demo-787b675c78-xsg9q        Marking for deletion Pod default/soft-affinity-demo-787b675c78-xsg9q
2m26s       Normal    TaintManagerEviction           pod/postgres-db-dev-778b4db454-zgpdj           Marking for deletion Pod default/postgres-db-dev-778b4db454-zgpdj
2m26s       Normal    TaintManagerEviction           pod/anti-affinity-demo-58975dfdbb-l2rvs        Marking for deletion Pod default/anti-affinity-demo-58975dfdbb-l2rvs
2m26s       Normal    TaintManagerEviction           pod/hard-affinity-demo-6db64dcd6b-z28tl        Marking for deletion Pod default/hard-affinity-demo-6db64dcd6b-z28tl
2m26s       Normal    TaintManagerEviction           pod/soft-affinity-demo-787b675c78-pbvcb        Marking for deletion Pod default/soft-affinity-demo-787b675c78-pbvcb
2m26s       Normal    TaintManagerEviction           pod/httpd-7ffb6c7dd7-lcwxq                     Marking for deletion Pod default/httpd-7ffb6c7dd7-lcwxq
2m26s       Normal    TaintManagerEviction           pod/web-2                                      Marking for deletion Pod default/web-2
2m26s       Normal    TaintManagerEviction           pod/backend-dev-deployment-8448bb4f88-nw68s    Marking for deletion Pod default/backend-dev-deployment-8448bb4f88-nw68s
2m26s       Normal    TaintManagerEviction           pod/web-app-5c89984b6f-4sf2t                   Marking for deletion Pod default/web-app-5c89984b6f-4sf2t
2m26s       Normal    TaintManagerEviction           pod/react-frontend-dev-79b7b6cc87-b5p7m        Marking for deletion Pod default/react-frontend-dev-79b7b6cc87-b5p7m
2m26s       Normal    TaintManagerEviction           pod/httpds-bbd777f8d-svclx                     Marking for deletion Pod default/httpds-bbd777f8d-svclx
2m26s       Normal    TaintManagerEviction           pod/recreate-deployment-866ccdc575-hrh45       Marking for deletion Pod default/recreate-deployment-866ccdc575-hrh45
2m26s       Normal    TaintManagerEviction           pod/deploy-6f66f85776-zqvtf                    Marking for deletion Pod default/deploy-6f66f85776-zqvtf
2m26s       Normal    TaintManagerEviction           pod/nginx-deployment-86c57bc6b8-sksw5          Marking for deletion Pod default/nginx-deployment-86c57bc6b8-sksw5
2m26s       Normal    TaintManagerEviction           pod/soft-affinity-demo-787b675c78-j6fvk        Marking for deletion Pod default/soft-affinity-demo-787b675c78-j6fvk
2m26s       Normal    TaintManagerEviction           pod/httpd-7ffb6c7dd7-qzfwh                     Marking for deletion Pod default/httpd-7ffb6c7dd7-qzfwh
2m26s       Normal    TaintManagerEviction           pod/app                                        Marking for deletion Pod default/app
2m26s       Normal    TaintManagerEviction           pod/recreate-deployment-866ccdc575-msjjh       Marking for deletion Pod default/recreate-deployment-866ccdc575-msjjh
2m26s       Normal    TaintManagerEviction           pod/react-frontend-dev-79b7b6cc87-59ttw        Marking for deletion Pod default/react-frontend-dev-79b7b6cc87-59ttw
